Product Name,Category,Brand,Quantity,Threshold
Black Tea,Tea,Bossen,0,0
Jasmine Green Tea,Tea,Bossen,0,0
Straw black Monogram ,Utensils,Monogram,0,0
Boba straw ,Utensils,Monogram,0,0
Regular straw neon ,Utensils,Monogram,0,0
Monogran Paper Towels ,Utensils,Monogram,0,0
Pastry Sleeves ,Utensils,Monogram,0,0
12oz Hot Cups,Cup,Eco,0,0
16oz Hot Cups,Cup,Eco,0,0
20oz Hot Cups,Cup,Eco,0,0
Hot Cup Lids 12oz 16oz 20oz,Cup,Eco,0,0
16 oz Cold Cups,Cup,Dart,0,0
20 oz Cold  Cups,Cup,Dart,0,0
32oz Cold Cups,Cup,Dart,0,0
16 20 oz Cold Cup Flat Lids,Cup,Dart,0,0
32 oz Cold Cup Flat Lids,Cup,Dart,0,0
16 and 20 oz Cold Cup Dome Lids,Cup,Dart,0,0
32 oz Cold Cup Dome Lids,Cup,Dart,0,0
Coffee Filters,Utensils,Dart,0,0
Toddy Paper Filters,Utensils,Dart,0,0
Toddy Corks & Filters,Utensils,Dart,0,0
Black bag (320 mm x 220 mm),Utensils,Dart,0,0
Plain Coffee Sleeve,Utensils,Monogram,0,0
Hazelnut sugar free,Syrup,DaVinci,0,0
Tork Napkins,Utensils,Tork,0,0
Blue Cotton Candy,Syrup,Monin,0,0
Concentrated Syrup - Brown Sugar ,Syrup,Bossen,0,0
Kit Ctly SP ,Utensils,Monogram,0,0
Mustard Packge ,Food,Monarch,0,0
Aluminun Foil,Utensils,Anchor,0,0
Plastic Wrap,Utensils,Crystal Wrap,0,0
Ketchup,Food,Monarch,0,0
